Date of contribution,Where do you live?,What is your gender? ,What is your current work situation? (Select all that apply),Are you a member of a union and covered by a collective agreement?,How important is keeping your benefits when you consider changing jobs? (Select all that apply),What should the hourly minimum wage be?
Jan 11 18 01:27:31 pm,Ontario,Female,Permanent,Yes,Somewhat important,$15
Jan 11 18 01:56:47 pm,Ontario,Prefer not to answer,Permanent,Yes,Very important,More than $15
Jan 11 18 02:02:36 pm,Ontario,Male,Permanent,Yes,Very important,$12
Jan 11 18 02:29:15 pm,Quebec,Female,Permanent,Yes,Very important,$14
Jan 11 18 03:10:34 pm,Quebec,Male,Permanent,Yes,Very important,$14
Jan 11 18 04:44:06 pm,Ontario,Male,Permanent,No,Very important,More than $15
Jan 11 18 05:28:29 pm,Alberta,Female,Permanent,No,Very important,$13
Jan 11 18 05:33:16 pm,Ontario,Male,Permanent,No,Very important,$14
Jan 11 18 10:19:48 pm,Ontario,Female,Permanent,Yes,Very important,$13
Jan 11 18 11:43:37 am,Ontario,Female,Permanent,No,Very important,More than $15
Jan 11 18 12:04:51 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 11 18 12:21:31 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 11 18 12:47:54 pm,Ontario,Female,Temporary/term or contract,No,Very important,More than $15
Jan 11 18 12:59:37 pm,Ontario,Male,Permanent,No,Very important,$15
Jan 12 18 01:30:14 pm,Ontario,Female,Permanent,No,Very important,$13
Jan 12 18 01:48:33 pm,British Columbia,Female,Permanent,No,Very important,$15
Jan 12 18 02:28:11 pm,Ontario,Male,Permanent,No,Very important,$15
Jan 12 18 02:48:51 pm,Ontario,Female,Permanent,Yes,Somewhat important,More than $15
Jan 12 18 03:39:57 pm,Manitoba,Male,Permanent,Prefer not to answer,Very important,$15
Jan 12 18 03:46:28 pm,Ontario,Female,Permanent,No,Very important,More than $15
Jan 12 18 04:41:42 pm,Quebec,Male,Permanent,Yes,Very important,$15
Jan 12 18 05:25:05 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 12 18 06:26:49 pm,Nova Scotia,Male,Permanent,No,Very important,$15
Jan 12 18 07:00:48 pm,Alberta,Female,Permanent,Yes,Very important,$15
Jan 12 18 07:15:25 pm,Nova Scotia,Female,Permanent,No,Very important,More than $15
Jan 12 18 07:26:31 pm,Alberta,Male,Permanent,No,Somewhat important,More than $15
Jan 12 18 09:38:27 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 12 18 11:55:52 am,Ontario,Female,Permanent,No,Very important,$15
Jan 13 18 05:38:10 pm,Ontario,Female,Permanent,Yes,Somewhat important,$15
Jan 13 18 05:41:19 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 13 18 07:49:51 pm,Ontario,Male,Permanent,Yes,Neutral,$15
Jan 13 18 08:57:34 pm,Alberta,Female,Permanent,No,Somewhat important,$14
Jan 13 18 09:42:13 pm,Quebec,Male,Permanent,No,Very important,More than $15
Jan 13 18 10:08:33 am,Ontario,Female,Permanent,No,Very important,Prefer not to answer
Jan 13 18 10:30:42 am,Ontario,Female,"Permanent, Temporary/term or contract",No,Very important,$14
Jan 13 18 10:33:09 am,Ontario,Female,Permanent,No,Very important,$14
Jan 13 18 10:44:35 pm,Ontario,Female,Permanent,No,Very important,More than $15
Jan 13 18 11:05:51 am,Ontario,Male,Permanent,No,Very important,$14
Jan 13 18 12:04:15 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 13 18 12:05:17 pm,Ontario,Female,Permanent,No,Very important,More than $15
Jan 13 18 12:11:48 pm,Ontario,Female,Permanent,No,Somewhat important,$14
Jan 13 18 12:44:13 pm,Ontario,Female,Permanent,No,Very important,More than $15
Jan 14 18 03:22:04 pm,Ontario,Female,Permanent,Yes,Very important,$14
Jan 15 18 01:21:38 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 15 18 01:47:19 pm,New Brunswick,Female,Permanent,No,Very important,Prefer not to answer
Jan 15 18 02:00:51 pm,Alberta,Male,Permanent,No,Very important,$15
Jan 15 18 02:05:57 pm,Quebec,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 15 18 03:06:35 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 15 18 05:06:45 pm,Ontario,Female,Permanent,No,Very important,$14
Jan 15 18 06:02:03 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 15 18 06:25:14 pm,Ontario,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 15 18 06:56:14 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 15 18 07:37:31 pm,Ontario,Female,Permanent,No,Very important,$14
Jan 15 18 10:19:56 pm,Ontario,Female,Permanent,No,Very important,$14
Jan 15 18 10:43:45 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 15 18 11:12:06 am,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 15 18 11:19:59 am,Ontario,Female,Permanent,No,Very important,$15
Jan 15 18 11:36:59 pm,Alberta,Male,Permanent,No,Very important,$13
Jan 15 18 11:48:39 pm,Ontario,Female,Permanent,No,Very important,$14
Jan 15 18 12:23:53 pm,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 16 18 02:35:36 pm,Ontario,Female,Temporary/term or contract,Yes,Very important,More than $15
Jan 16 18 02:38:26 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 16 18 05:48:10 pm,Ontario,Female,Permanent,No,Very important,More than $15
Jan 16 18 08:20:33 am,Ontario,Female,Permanent,Yes,Very important,$15
Jan 16 18 10:45:57 am,Quebec,Male,Permanent,Yes,Very important,$15
Jan 16 18 12:28:26 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 17 18 02:56:22 pm,Ontario,Male,Permanent,No,Very important,Prefer not to answer
Jan 17 18 03:41:17 pm,Ontario,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 17 18 04:52:53 pm,Ontario,Male,Permanent,No,Very important,More than $15
Jan 17 18 05:39:50 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 17 18 11:24:11 am,Manitoba,Male,Permanent,No,Very important,$13
Jan 17 18 12:07:24 pm,Ontario,Male,Permanent,Yes,Very important,Prefer not to answer
Jan 17 18 12:48:03 pm,Nova Scotia,Female,Permanent,No,Very important,$15
Jan 18 18 02:46:10 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 18 18 03:25:21 pm,Quebec,Male,Permanent,No,Neutral,$12
Jan 18 18 03:46:25 pm,Ontario,Female,Temporary/term or contract,Yes,Very important,More than $15
Jan 18 18 04:27:32 pm,British Columbia,Male,Permanent,Yes,Somewhat important,More than $15
Jan 18 18 04:48:33 pm,Ontario,Female,Temporary/term or contract,Yes,Very important,More than $15
Jan 18 18 06:40:59 pm,British Columbia,Male,Permanent,Yes,Very important,More than $15
Jan 18 18 09:02:44 pm,British Columbia,Male,Permanent,Yes,Very important,$15
Jan 18 18 09:17:03 pm,Ontario,Male,Permanent,Yes,Somewhat important,$15
Jan 18 18 09:42:41 pm,British Columbia,Male,Permanent,Yes,Very important,More than $15
Jan 18 18 09:51:21 am,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 18 18 09:54:38 pm,Manitoba,Female,Permanent,No,Very important,$15
Jan 18 18 11:56:17 am,Ontario,Male,Permanent,Yes,Somewhat important,More than $15
Jan 19 18 01:35:28 pm,New Brunswick,Female,Permanent,No,Very important,$12
Jan 19 18 01:42:28 pm,Quebec,Female,Permanent,Yes,Somewhat important,More than $15
Jan 19 18 02:26:04 pm,New Brunswick,Female,Permanent,No,Not very important,$11
Jan 19 18 02:30:01 am,British Columbia,Male,Permanent,Yes,Very important,$15
Jan 19 18 02:44:55 pm,New Brunswick,Female,Permanent,No,Somewhat important,More than $15
Jan 19 18 06:00:25 pm,Alberta,Female,Permanent,Yes,Very important,$15
Jan 19 18 06:13:54 pm,Ontario,Male,Temporary/term or contract,Yes,Very important,$15
Jan 19 18 06:25:08 pm,British Columbia,Female,Temporary/term or contract,Yes,Very important,$15
Jan 19 18 06:39:27 pm,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 19 18 06:41:55 pm,British Columbia,Male,Other (please specify),Yes,Very important,$15
Jan 19 18 08:06:21 pm,Manitoba,Female,Permanent,No,Somewhat important,$14
Jan 19 18 08:18:48 am,British Columbia,Male,Permanent,Yes,Very important,$15
Jan 19 18 08:47:41 pm,Ontario,Male,Other (please specify),Yes,Very important,More than $15
Jan 19 18 08:56:07 am,British Columbia,Male,Temporary/term or contract,Yes,Very important,More than $15
Jan 19 18 10:53:20 am,New Brunswick,Female,Permanent,No,Very important,More than $15
Jan 19 18 11:37:59 am,Ontario,Male,Permanent,No,Very important,$15
Jan 19 18 12:00:52 pm,Manitoba,Male,Permanent,Yes,Very important,$13
Jan 19 18 12:01:49 pm,New Brunswick,Female,Temporary/term or contract,Yes,Somewhat important,$15
Jan 20 18 02:28:32 pm,Manitoba,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 20 18 05:46:43 pm,Ontario,Female,Permanent,No,Somewhat important,$15
Jan 21 18 01:40:11 pm,New Brunswick,Female,Permanent,No,Very important,Prefer not to answer
Jan 21 18 02:10:20 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 21 18 03:28:33 pm,Ontario,Male,Permanent,Yes,Very important,$11
Jan 21 18 04:57:29 pm,Ontario,Male,Permanent,Yes,Very important,$13
Jan 21 18 06:23:06 pm,Saskatchewan,Female,Permanent,No,Very important,$15
Jan 21 18 06:42:22 pm,Ontario,Male,Permanent,Yes,Very important,Prefer not to answer
Jan 21 18 08:08:09 pm,Nova Scotia,Female,Permanent,No,Somewhat important,$15
Jan 21 18 08:09:06 pm,New Brunswick,Male,Permanent,Yes,Very important,$15
Jan 21 18 10:51:36 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 22 18 01:18:19 pm,Nova Scotia,Female,Permanent,No,Somewhat important,Prefer not to answer
Jan 22 18 02:07:45 am,Ontario,Male,Permanent,Yes,Very important,$15
Jan 22 18 02:14:52 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 22 18 02:16:01 am,British Columbia,Male,Permanent,Yes,Very important,$13
Jan 22 18 02:34:13 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 22 18 02:57:23 pm,Alberta,Male,Temporary/term or contract,No,Very important,$15
Jan 22 18 03:15:21 pm,Ontario,Male,Permanent,No,Very important,$15
Jan 22 18 03:33:46 pm,Alberta,Male,Permanent,No,Very important,Prefer not to answer
Jan 22 18 03:50:02 pm,Alberta,Male,Permanent,Yes,Very important,$15
Jan 22 18 04:04:40 pm,Alberta,Female,Permanent,Yes,Very important,More than $15
Jan 22 18 06:36:06 pm,British Columbia,Male,Permanent,Yes,Very important,$15
Jan 22 18 07:22:21 pm,British Columbia,Female,Permanent,No,Very important,More than $15
Jan 22 18 08:55:28 am,Newfoundland and Labrador,Female,Permanent,Yes,Very important,$14
Jan 22 18 09:24:36 am,Nova Scotia,Female,Permanent,Yes,Very important,More than $15
Jan 22 18 09:31:56 am,Nova Scotia,Female,Permanent,Yes,Very important,$15
Jan 22 18 10:28:42 am,Ontario,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 22 18 10:49:06 am,Quebec,Male,Permanent,Yes,Somewhat important,$15
Jan 22 18 10:58:08 pm,Manitoba,Male,Permanent,Yes,Very important,$15
Jan 22 18 11:07:03 am,Quebec,Male,Permanent,Yes,Very important,$15
Jan 22 18 11:07:36 am,Ontario,Female,Permanent,Yes,Very important,$15
Jan 22 18 11:09:18 am,Ontario,Female,Permanent,Yes,Somewhat important,$15
Jan 22 18 11:19:30 am,Quebec,Male,Permanent,Yes,Very important,More than $15
Jan 22 18 11:42:02 am,Saskatchewan,Male,Permanent,Yes,Very important,$13
Jan 22 18 11:48:35 am,Ontario,Male,Permanent,Yes,Very important,$15
Jan 22 18 11:54:21 am,Ontario,Female,Permanent,Yes,Very important,$15
Jan 22 18 11:55:05 am,Ontario,Female,Permanent,No,Very important,$15
Jan 22 18 12:18:47 pm,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 23 18 01:22:14 pm,Ontario,Female,Permanent,No,Very important,$13
Jan 23 18 02:01:02 pm,Alberta,Female,Permanent,Yes,Very important,More than $15
Jan 23 18 02:24:12 pm,Ontario,Female,Permanent,Yes,Very important,$13
Jan 23 18 02:25:52 pm,New Brunswick,Female,Temporary/term or contract,No,Somewhat important,$11
Jan 23 18 02:26:33 pm,Ontario,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 23 18 02:27:14 pm,New Brunswick,Female,Permanent,No,Very important,$15
Jan 23 18 02:44:09 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 23 18 03:22:00 pm,Quebec,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 23 18 03:23:02 pm,Alberta,Male,Permanent,Yes,Very important,More than $15
Jan 23 18 03:33:07 pm,Alberta,Female,Permanent,Yes,Very important,More than $15
Jan 23 18 03:41:14 pm,Ontario,Male,Permanent,Yes,Somewhat important,$15
Jan 23 18 03:48:39 pm,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 23 18 03:51:18 pm,Quebec,Male,Permanent,Yes,Very important,$11
Jan 23 18 03:51:22 pm,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 23 18 03:51:33 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 23 18 03:52:22 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 23 18 03:58:51 pm,Ontario,Male,Permanent,Yes,Somewhat important,$15
Jan 23 18 04:03:18 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 23 18 04:19:14 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 23 18 04:19:28 pm,British Columbia,Female,Permanent,No,Very important,$15
Jan 23 18 04:48:45 pm,Ontario,Male,Permanent,Yes,Somewhat important,$15
Jan 23 18 04:51:47 pm,Quebec,Female,Permanent,Yes,Very important,$15
Jan 23 18 05:06:47 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 23 18 05:07:22 pm,Quebec,Female,Permanent,Yes,Very important,$15
Jan 23 18 06:20:11 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 23 18 06:38:32 pm,Ontario,Female,Permanent,No,Very important,$15
Jan 23 18 06:50:19 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 23 18 07:02:04 pm,Alberta,Male,Permanent,Yes,Very important,More than $15
Jan 23 18 07:08:28 pm,Ontario,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 23 18 07:19:04 pm,Ontario,Female,Permanent,Yes,Very important,$13
Jan 23 18 07:21:42 pm,British Columbia,Female,Permanent,No,Very important,$15
Jan 23 18 08:01:36 pm,New Brunswick,Female,Permanent,No,Very important,Prefer not to answer
Jan 23 18 08:13:58 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 23 18 08:20:49 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 23 18 09:07:42 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 23 18 09:09:50 am,British Columbia,Female,Temporary/term or contract,No,Very important,More than $15
Jan 23 18 09:12:40 pm,Alberta,Male,Temporary/term or contract,Yes,Very important,$15
Jan 23 18 09:56:20 pm,Ontario,Male,Permanent,No,Not important at all,$14
Jan 23 18 10:03:23 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 23 18 10:27:36 pm,Ontario,Female,Permanent,Yes,Very important,$13
Jan 23 18 10:31:29 pm,Alberta,Male,Temporary/term or contract,No,Prefer not to answer,More than $15
Jan 23 18 10:34:57 am,Quebec,Male,Permanent,Yes,Very important,More than $15
Jan 23 18 10:48:30 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 23 18 10:54:03 pm,Quebec,Female,Permanent,Yes,Very important,$15
Jan 23 18 11:30:00 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 23 18 11:46:57 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 23 18 12:11:41 pm,Ontario,Female,Permanent,No,Very important,$14
Jan 23 18 12:12:18 pm,Ontario,Female,Permanent,No,Somewhat important,$14
Jan 23 18 12:24:29 pm,Ontario,Female,Permanent,No,Very important,$12
Jan 23 18 12:27:32 pm,Ontario,Female,Permanent,No,Very important,$14
Jan 24 18 01:08:26 am,Ontario,Female,Permanent,Yes,Very important,$15
Jan 24 18 01:08:35 am,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 24 18 01:11:18 am,Alberta,Male,Permanent,Yes,Very important,$15
Jan 24 18 01:11:45 am,Quebec,Male,Permanent,Yes,Somewhat important,$15
Jan 24 18 01:13:09 am,Alberta,Female,Permanent,Yes,Somewhat important,$15
Jan 24 18 01:15:45 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 24 18 01:48:39 am,Alberta,Female,Permanent,Yes,Very important,More than $15
Jan 24 18 01:53:49 am,Alberta,Prefer not to answer,Permanent,Yes,Very important,More than $15
Jan 24 18 01:57:06 am,Ontario,Female,"Permanent, Self-employed with employees",Yes,Very important,$15
Jan 24 18 03:35:54 am,Ontario,Male,Permanent,Yes,Very important,$15
Jan 24 18 04:13:05 pm,Manitoba,Female,Permanent,Yes,Very important,More than $15
Jan 24 18 04:14:26 am,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 24 18 04:19:09 pm,Ontario,Female,Permanent,Yes,Somewhat important,More than $15
Jan 24 18 04:56:51 pm,Ontario,Female,Permanent,No,Very important,$15
Jan 24 18 05:20:46 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 24 18 05:36:09 pm,Alberta,Female,Permanent,Yes,Very important,$15
Jan 24 18 06:12:28 pm,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 24 18 06:24:51 am,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 24 18 06:28:11 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 24 18 06:29:43 pm,Alberta,Male,Permanent,Yes,Somewhat important,$15
Jan 24 18 07:02:04 pm,Alberta,Male,Permanent,Yes,Very important,$15
Jan 24 18 07:20:30 pm,Alberta,Female,Permanent,Yes,Very important,$15
Jan 24 18 07:38:48 pm,Ontario,Female,Permanent,No,Very important,$13
Jan 24 18 07:55:25 pm,Nova Scotia,Male,Permanent,No,Somewhat important,$15
Jan 24 18 07:58:54 am,Ontario,Female,Permanent,Yes,Very important,$14
Jan 24 18 08:10:40 pm,British Columbia,Female,Permanent,No,Somewhat important,$15
Jan 24 18 08:50:26 pm,Ontario,Female,Permanent,No,Neutral,$14
Jan 24 18 08:55:16 pm,Ontario,Male,Permanent,No,Very important,$13
Jan 24 18 09:01:49 pm,Alberta,Female,Permanent,Yes,Very important,$15
Jan 24 18 09:44:29 pm,Nova Scotia,Female,Permanent,No,Very important,$13
Jan 24 18 09:53:46 pm,Ontario,Female,Permanent,Yes,Somewhat important,$14
Jan 24 18 10:04:11 pm,Ontario,Female,"Permanent, Temporary/term or contract",No,Very important,$15
Jan 24 18 10:13:47 am,Saskatchewan,Male,Permanent,No,Somewhat important,$15
Jan 24 18 10:47:29 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 24 18 11:58:17 am,Ontario,Female,Permanent,Yes,Very important,$15
Jan 24 18 12:03:55 am,Ontario,Male,Permanent,Yes,Very important,$15
Jan 24 18 12:24:44 pm,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 24 18 12:28:02 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 24 18 12:33:38 pm,Alberta,Female,Permanent,No,Somewhat important,More than $15
Jan 24 18 12:44:57 am,Quebec,Female,Permanent,Yes,Very important,$15
Jan 24 18 12:46:23 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 25 18 01:11:29 pm,Nova Scotia,Male,Permanent,Yes,Very important,More than $15
Jan 25 18 01:27:18 pm,Ontario,Female,Permanent,No,Very important,More than $15
Jan 25 18 01:30:34 pm,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 25 18 01:36:17 pm,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 25 18 01:51:08 pm,Ontario,Female,Permanent,Yes,Very important,$14
Jan 25 18 01:55:11 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 25 18 01:55:30 pm,Quebec,Male,Permanent,Yes,Very important,$15
Jan 25 18 01:58:42 am,Ontario,Female,Permanent,Yes,Very important,$15
Jan 25 18 01:58:57 pm,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 25 18 02:06:21 am,British Columbia,Female,Permanent,No,Very important,$15
Jan 25 18 02:18:28 pm,Ontario,Female,Permanent,Yes,Very important,$14
Jan 25 18 02:19:05 am,British Columbia,Male,Permanent,Yes,Very important,More than $15
Jan 25 18 02:29:15 pm,Ontario,Female,Permanent,Yes,Very important,$12
Jan 25 18 02:32:53 pm,Quebec,Female,Permanent,Yes,Very important,$15
Jan 25 18 02:44:05 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 25 18 02:44:54 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 25 18 02:52:10 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 25 18 02:54:03 pm,Alberta,Female,Permanent,Yes,Very important,More than $15
Jan 25 18 02:58:41 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 25 18 02:59:31 pm,Ontario,Male,Permanent,Yes,Very important,$14
Jan 25 18 03:04:47 pm,Ontario,Female,Permanent,Yes,Very important,$13
Jan 25 18 03:23:52 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 25 18 03:34:57 am,British Columbia,Female,Temporary/term or contract,Yes,Very important,More than $15
Jan 25 18 03:37:10 pm,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 25 18 03:43:12 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 25 18 04:08:09 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 25 18 04:12:07 pm,Nova Scotia,Male,Permanent,Yes,Very important,$15
Jan 25 18 04:36:47 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 25 18 05:00:24 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 25 18 05:07:15 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 25 18 05:25:38 pm,Ontario,Female,Permanent,Prefer not to answer,Very important,More than $15
Jan 25 18 05:26:25 pm,Alberta,Male,Permanent,Yes,Very important,$12
Jan 25 18 05:38:52 am,Nova Scotia,Female,Permanent,Prefer not to answer,Somewhat important,$14
Jan 25 18 05:39:41 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 25 18 05:42:42 pm,Ontario,Female,Permanent,Yes,Very important,$15
