Date of contribution,Where do you live?,What is your gender? ,What is your current work situation? (Select all that apply),Are you a member of a union and covered by a collective agreement?,How important is keeping your benefits when you consider changing jobs? (Select all that apply),What should the hourly minimum wage be?
Jan 25 18 06:04:05 pm,Alberta,Male,Permanent,Yes,Very important,More than $15
Jan 25 18 06:10:41 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 25 18 06:26:57 pm,British Columbia,Male,Permanent,Yes,Very important,$15
Jan 25 18 06:44:53 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 25 18 07:16:16 pm,Alberta,Female,"Permanent, Temporary/term or contract",Yes,Very important,$15
Jan 25 18 07:54:46 am,Ontario,Male,Permanent,No,Very important,More than $15
Jan 25 18 08:38:11 am,Ontario,Female,Working for multiple employers,Yes,Very important,More than $15
Jan 25 18 08:49:27 pm,Ontario,Male,Permanent,Yes,Very important,$14
Jan 25 18 09:05:41 pm,Ontario,Female,Permanent,Yes,Very important,$13
Jan 25 18 09:10:06 am,Ontario,Female,Permanent,No,Very important,More than $15
Jan 25 18 09:22:39 pm,Ontario,Female,"Permanent, Self-employed without employees",No,Neutral,$15
Jan 25 18 09:24:30 am,Alberta,Male,Permanent,Yes,Very important,$15
Jan 25 18 09:29:33 pm,Ontario,Prefer not to answer,Permanent,Yes,Very important,More than $15
Jan 25 18 09:43:28 pm,Nova Scotia,Female,Permanent,Yes,Very important,$15
Jan 25 18 09:54:07 pm,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 25 18 10:04:40 am,Ontario,Female,Permanent,Yes,Very important,$15
Jan 25 18 10:08:03 pm,British Columbia,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 25 18 10:14:09 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 25 18 10:22:47 pm,British Columbia,Male,Permanent,Yes,Very important,More than $15
Jan 25 18 10:52:46 pm,British Columbia,Female,Permanent,Yes,Very important,More than $15
Jan 25 18 10:53:02 pm,British Columbia,Female,Permanent,Yes,Somewhat important,$15
Jan 25 18 10:55:04 am,Alberta,Male,Permanent,Yes,Very important,$15
Jan 25 18 10:56:42 am,Ontario,Male,Permanent,No,Very important,$15
Jan 25 18 10:58:32 am,British Columbia,Female,"Permanent, Working for multiple employers",Yes,Very important,More than $15
Jan 25 18 11:03:32 pm,British Columbia,Female,Permanent,Yes,Prefer not to answer,More than $15
Jan 25 18 11:04:14 am,Ontario,Male,Permanent,Yes,Very important,$15
Jan 25 18 11:04:41 pm,Saskatchewan,Male,Permanent,Yes,Very important,$11
Jan 25 18 11:04:45 am,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 25 18 11:07:50 pm,British Columbia,Male,Permanent,Yes,Very important,$12
Jan 25 18 11:40:37 pm,Ontario,Female,Permanent,No,Very important,More than $15
Jan 25 18 11:50:21 am,British Columbia,Male,Permanent,Yes,Very important,$15
Jan 25 18 12:28:40 pm,New Brunswick,Male,Permanent,No,Very important,$14
Jan 25 18 12:31:05 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 26 18 01:02:34 am,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 01:18:50 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 26 18 01:31:56 pm,Ontario,Male,Permanent,Yes,Somewhat important,$15
Jan 26 18 01:32:27 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 01:33:50 am,British Columbia,Male,Permanent,Yes,Very important,$14
Jan 26 18 01:34:51 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 01:34:53 pm,Manitoba,Male,Permanent,Yes,Very important,$15
Jan 26 18 01:38:38 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 01:42:20 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 01:58:27 pm,British Columbia,Male,Permanent,No,Very important,More than $15
Jan 26 18 02:14:00 am,British Columbia,Female,Permanent,Yes,Very important,$14
Jan 26 18 02:36:03 pm,Ontario,Female,Permanent,Yes,Very important,$14
Jan 26 18 03:02:18 pm,Ontario,Male,Temporary/term or contract,Yes,Very important,$15
Jan 26 18 03:09:52 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 03:24:39 pm,Quebec,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 03:26:54 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 03:26:55 pm,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 26 18 03:34:00 pm,Ontario,Male,Permanent,No,Very important,More than $15
Jan 26 18 03:36:02 pm,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 26 18 03:40:15 pm,British Columbia,Male,Permanent,Yes,Very important,$15
Jan 26 18 03:47:02 pm,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 26 18 04:02:58 pm,Ontario,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 26 18 04:22:07 pm,Ontario,Male,Permanent,No,Very important,$13
Jan 26 18 04:23:38 pm,Ontario,Female,Permanent,No,Very important,$15
Jan 26 18 04:34:26 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:35:15 pm,Ontario,Male,Permanent,No,Very important,More than $15
Jan 26 18 04:36:58 pm,Alberta,Female,Permanent,No,Very important,$12
Jan 26 18 04:37:39 pm,British Columbia,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:37:44 pm,Ontario,Male,Permanent,No,Very important,$14
Jan 26 18 04:38:22 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 04:38:40 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:39:50 pm,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 04:40:09 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:40:55 pm,British Columbia,Female,Permanent,No,Very important,$15
Jan 26 18 04:41:01 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:41:18 pm,British Columbia,Female,Permanent,No,Very important,$14
Jan 26 18 04:41:21 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:41:30 pm,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 04:43:30 pm,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 04:43:48 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:43:59 pm,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 04:45:33 am,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 04:48:44 pm,Alberta,Male,Permanent,No,Somewhat important,$14
Jan 26 18 04:50:30 pm,Ontario,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:50:35 pm,Alberta,Female,Permanent,No,Very important,$14
Jan 26 18 04:50:58 pm,Alberta,Male,Permanent,No,Very important,Prefer not to answer
Jan 26 18 04:52:53 pm,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 04:54:20 pm,Nova Scotia,Female,"Permanent, Self-employed without employees",No,Very important,$14
Jan 26 18 04:54:33 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 04:56:01 pm,British Columbia,Female,Permanent,No,Somewhat important,Prefer not to answer
Jan 26 18 04:57:23 pm,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 04:57:24 pm,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 04:57:32 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 04:57:51 pm,British Columbia,Male,Permanent,No,Very important,$14
Jan 26 18 04:59:32 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 05:01:50 pm,Alberta,Female,"Permanent, Seasonal",No,Very important,More than $15
Jan 26 18 05:01:53 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 05:03:27 pm,Ontario,Female,Permanent,Yes,Very important,$13
Jan 26 18 05:06:34 pm,Alberta,Female,Permanent,No,Very important,$11
Jan 26 18 05:07:43 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 05:09:41 pm,Alberta,Female,Permanent,No,Very important,Prefer not to answer
Jan 26 18 05:10:51 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 05:12:49 pm,Ontario,Female,Permanent,No,Very important,$15
Jan 26 18 05:16:54 pm,Alberta,Female,Permanent,No,Prefer not to answer,$14
Jan 26 18 05:17:53 pm,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 05:18:34 pm,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 05:18:44 pm,Alberta,Female,Permanent,No,Somewhat important,$14
Jan 26 18 05:19:02 pm,Alberta,Male,Permanent,No,Somewhat important,More than $15
Jan 26 18 05:19:57 pm,Ontario,Female,Permanent,No,Very important,$14
Jan 26 18 05:21:28 pm,Nova Scotia,Female,Permanent,No,Neutral,More than $15
Jan 26 18 05:24:15 pm,Alberta,Female,Permanent,No,Somewhat important,$12
Jan 26 18 05:24:38 pm,Alberta,Female,Permanent,No,Very important,Prefer not to answer
Jan 26 18 05:25:42 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 05:27:34 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 05:29:22 pm,Ontario,Female,Permanent,No,Very important,$15
Jan 26 18 05:29:29 pm,Ontario,Prefer not to answer,Permanent,No,Very important,$15
Jan 26 18 05:29:36 pm,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 05:29:48 pm,Ontario,Male,Permanent,No,Very important,$15
Jan 26 18 05:30:25 pm,Alberta,Male,Permanent,No,Very important,$11
Jan 26 18 05:31:49 pm,British Columbia,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 05:34:48 pm,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 05:37:17 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 05:37:21 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 05:39:44 pm,Alberta,Male,Permanent,No,Somewhat important,Prefer not to answer
Jan 26 18 05:40:38 pm,Manitoba,Male,Permanent,Yes,Somewhat important,More than $15
Jan 26 18 05:42:28 pm,Alberta,Female,Permanent,No,Somewhat important,$15
Jan 26 18 05:44:14 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 05:44:17 pm,Newfoundland and Labrador,Male,Permanent,Yes,Very important,$12
Jan 26 18 05:45:29 pm,Alberta,Male,Permanent,No,Somewhat important,$15
Jan 26 18 05:45:42 pm,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 05:46:01 pm,British Columbia,Male,Permanent,No,Very important,More than $15
Jan 26 18 05:46:50 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 05:50:04 pm,New Brunswick,Female,Permanent,No,Very important,More than $15
Jan 26 18 05:52:11 pm,Alberta,Female,Permanent,No,Somewhat important,$15
Jan 26 18 05:53:17 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 05:53:21 pm,Prince Edward Island,Female,Permanent,No,Very important,$15
Jan 26 18 05:55:30 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 05:55:39 pm,Ontario,Female,Permanent,No,Very important,More than $15
Jan 26 18 05:58:47 pm,British Columbia,Female,Permanent,No,Very important,$15
Jan 26 18 06:01:22 pm,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 06:01:35 pm,Alberta,Male,Permanent,No,Very important,$13
Jan 26 18 06:04:27 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 06:05:01 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 06:05:07 pm,Ontario,Female,Permanent,No,Very important,$15
Jan 26 18 06:09:47 pm,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 06:09:53 pm,New Brunswick,Male,Permanent,Prefer not to answer,Very important,$15
Jan 26 18 06:10:04 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 06:10:17 pm,Alberta,Female,"Permanent, Working for multiple employers",No,Very important,$15
Jan 26 18 06:12:05 pm,New Brunswick,Female,Permanent,No,Very important,$15
Jan 26 18 06:12:56 pm,Ontario,Prefer not to answer,Permanent,No,Very important,More than $15
Jan 26 18 06:14:15 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 06:14:21 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 06:16:24 pm,Alberta,Male,Permanent,No,Somewhat important,Prefer not to answer
Jan 26 18 06:17:37 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 06:18:47 pm,Alberta,Female,Permanent,No,Somewhat important,$15
Jan 26 18 06:21:17 pm,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 06:25:07 pm,Ontario,Female,Permanent,No,Very important,$15
Jan 26 18 06:27:56 pm,New Brunswick,Female,Permanent,No,Very important,$13
Jan 26 18 06:28:01 pm,Ontario,Male,Permanent,No,Somewhat important,$14
Jan 26 18 06:29:07 pm,Alberta,Female,Permanent,No,Somewhat important,Prefer not to answer
Jan 26 18 06:29:55 pm,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 06:31:10 pm,Alberta,Male,Permanent,No,Neutral,More than $15
Jan 26 18 06:32:09 pm,Alberta,Female,Permanent,No,Very important,$14
Jan 26 18 06:33:24 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 06:36:48 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 06:37:03 pm,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 06:38:46 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 06:38:57 pm,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 06:40:40 pm,Alberta,Male,"Permanent, Casual",No,Very important,$15
Jan 26 18 06:43:01 pm,Manitoba,Female,Permanent,No,Very important,More than $15
Jan 26 18 06:43:42 pm,British Columbia,Male,Permanent,No,Somewhat important,More than $15
Jan 26 18 06:46:33 pm,British Columbia,Female,Permanent,No,Very important,$15
Jan 26 18 06:49:54 pm,British Columbia,Male,Permanent,No,Very important,$15
Jan 26 18 06:53:08 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 06:53:32 pm,Alberta,Male,Permanent,No,Somewhat important,$15
Jan 26 18 06:55:37 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 06:57:20 pm,Alberta,Female,"Permanent, Casual, Working for multiple employers",No,Very important,$14
Jan 26 18 06:58:44 pm,New Brunswick,Male,Permanent,No,Very important,More than $15
Jan 26 18 06:59:22 pm,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 07:00:09 pm,New Brunswick,Female,Permanent,No,Very important,$14
Jan 26 18 07:02:18 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 07:08:30 pm,Alberta,Male,Permanent,No,Very important,Prefer not to answer
Jan 26 18 07:12:54 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 07:13:07 pm,Alberta,Female,Permanent,No,Very important,$15
Jan 26 18 07:24:18 pm,Ontario,Male,Permanent,No,Very important,More than $15
Jan 26 18 07:26:15 pm,British Columbia,Male,Permanent,No,Somewhat important,$15
Jan 26 18 07:34:28 pm,British Columbia,Female,Permanent,No,Somewhat important,$15
Jan 26 18 07:35:32 pm,British Columbia,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 07:38:17 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 07:38:59 pm,Alberta,Female,Permanent,No,Somewhat important,$14
Jan 26 18 07:40:59 pm,Alberta,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 07:42:05 pm,Alberta,Prefer not to answer,Permanent,No,Very important,$13
Jan 26 18 07:44:36 am,Ontario,Male,Permanent,Yes,Neutral,$14
Jan 26 18 07:46:51 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 26 18 07:49:20 pm,Quebec,Male,Permanent,Yes,Very important,$15
Jan 26 18 07:50:42 am,Ontario,Female,Permanent,Yes,Very important,$12
Jan 26 18 07:52:36 pm,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 07:53:15 pm,British Columbia,Male,Permanent,Yes,Very important,$15
Jan 26 18 07:57:13 pm,Alberta,Male,Permanent,No,Somewhat important,$15
Jan 26 18 08:03:35 pm,Quebec,Female,Permanent,,Very important,More than $15
Jan 26 18 08:04:20 pm,Ontario,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 26 18 08:07:59 am,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 08:15:32 pm,Quebec,Female,Permanent,Yes,Somewhat important,$15
Jan 26 18 08:17:01 pm,British Columbia,Male,Permanent,Yes,Somewhat important,$15
Jan 26 18 08:19:37 pm,Alberta,Male,Permanent,No,Somewhat important,$15
Jan 26 18 08:22:47 pm,Quebec,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 08:26:56 pm,Ontario,Female,Permanent,No,Very important,More than $15
Jan 26 18 08:27:32 pm,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 08:32:32 pm,New Brunswick,Male,Permanent,Yes,Very important,Prefer not to answer
Jan 26 18 08:36:03 pm,Alberta,Female,Permanent,No,Somewhat important,$15
Jan 26 18 08:36:16 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 08:42:27 pm,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 08:42:29 pm,Alberta,Female,Permanent,No,Not very important,$14
Jan 26 18 08:42:46 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 08:43:38 pm,Ontario,Female,Permanent,No,Somewhat important,More than $15
Jan 26 18 08:51:57 pm,Alberta,Male,Permanent,No,Very important,Prefer not to answer
Jan 26 18 08:53:10 am,Ontario,Female,Permanent,No,Very important,More than $15
Jan 26 18 08:54:22 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 08:57:54 pm,Manitoba,Male,Permanent,No,Very important,$14
Jan 26 18 09:00:22 pm,Alberta,Female,Permanent,No,Not very important,$15
Jan 26 18 09:02:00 pm,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 09:03:35 pm,Alberta,Male,Permanent,Yes,Somewhat important,More than $15
Jan 26 18 09:05:39 pm,Ontario,Female,Permanent,Yes,Somewhat important,$15
Jan 26 18 09:06:40 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 09:12:32 pm,Alberta,Female,Permanent,No,Very important,More than $15
Jan 26 18 09:15:41 pm,New Brunswick,Male,Permanent,Yes,Somewhat important,Prefer not to answer
Jan 26 18 09:22:35 pm,Ontario,Male,Permanent,No,Somewhat important,$15
Jan 26 18 09:24:16 pm,Alberta,Male,Permanent,Yes,Somewhat important,$12
Jan 26 18 09:24:25 pm,Ontario,Male,Permanent,No,Somewhat important,$15
Jan 26 18 09:29:11 pm,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 09:33:21 pm,Alberta,Female,Permanent,No,Somewhat important,More than $15
Jan 26 18 09:33:42 pm,British Columbia,Female,Permanent,Yes,Very important,$15
Jan 26 18 09:39:02 am,Ontario,Male,Permanent,Yes,Very important,$15
Jan 26 18 09:39:23 pm,Ontario,Female,Permanent,Yes,Somewhat important,More than $15
Jan 26 18 09:41:20 pm,Alberta,Female,Permanent,No,Very important,$14
Jan 26 18 09:41:22 pm,Alberta,Female,"Permanent, Self-employed without employees",No,Very important,$15
Jan 26 18 09:41:32 pm,Alberta,Male,Permanent,No,Very important,More than $15
Jan 26 18 09:42:08 pm,Ontario,Female,Permanent,Yes,Very important,Prefer not to answer
Jan 26 18 09:49:40 am,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 09:52:22 pm,Alberta,Male,Working for multiple employers,Yes,Very important,More than $15
Jan 26 18 09:52:42 pm,Alberta,Female,Permanent,No,Very important,Prefer not to answer
Jan 26 18 09:55:16 pm,Ontario,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 09:55:32 pm,Nova Scotia,Male,Permanent,Yes,Very important,$15
Jan 26 18 10:05:24 pm,Ontario,Male,Permanent,Yes,Very important,$15
Jan 26 18 10:06:47 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 10:11:41 pm,Quebec,Female,Permanent,Yes,Very important,$15
Jan 26 18 10:15:12 pm,Quebec,Female,Permanent,No,Very important,$13
Jan 26 18 10:16:35 pm,Ontario,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 10:25:12 pm,New Brunswick,Male,Temporary/term or contract,No,Somewhat important,$15
Jan 26 18 10:29:34 pm,Alberta,Male,Permanent,Yes,Very important,More than $15
Jan 26 18 10:31:12 pm,Alberta,Male,Permanent,No,Very important,$15
Jan 26 18 10:33:31 pm,Ontario,Male,Permanent,No,Prefer not to answer,Prefer not to answer
Jan 26 18 10:42:38 pm,Alberta,Male,Permanent,No,Very important,Prefer not to answer
Jan 26 18 10:45:52 pm,Ontario,Female,Permanent,Yes,Very important,$15
Jan 26 18 10:47:31 am,Nova Scotia,Male,Prefer not to answer,Yes,Very important,$15
Jan 26 18 10:58:18 pm,Ontario,Female,Permanent,No,Very important,$13
Jan 26 18 10:58:50 pm,Ontario,Female,Permanent,No,Very important,$15
Jan 26 18 10:59:17 pm,Ontario,Male,Permanent,No,Very important,More than $15
Jan 26 18 11:01:06 am,Nova Scotia,Female,Permanent,Yes,Very important,$15
Jan 26 18 11:06:09 pm,Ontario,Female,Permanent,Yes,Prefer not to answer,Prefer not to answer
Jan 26 18 11:08:19 am,Quebec,Female,Permanent,Yes,Very important,$12
Jan 26 18 11:08:35 pm,New Brunswick,Male,Permanent,Yes,Very important,$13
Jan 26 18 11:11:43 pm,Manitoba,Female,Permanent,No,Very important,$14
Jan 26 18 11:15:35 pm,Alberta,Male,Permanent,No,Somewhat important,$15
Jan 26 18 11:18:29 pm,Ontario,Male,Permanent,No,Very important,$14
Jan 26 18 11:27:49 pm,Alberta,Female,Permanent,Yes,Somewhat important,$15
Jan 26 18 11:36:13 pm,Quebec,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 11:41:15 am,Quebec,Male,Permanent,Yes,Prefer not to answer,$15
Jan 26 18 11:42:29 pm,Ontario,Male,Permanent,Yes,Very important,$14
Jan 26 18 11:58:42 am,Nova Scotia,Male,Permanent,No,Very important,$12
Jan 26 18 12:10:43 pm,Quebec,Female,Permanent,Yes,Very important,$15
Jan 26 18 12:10:53 am,British Columbia,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 12:11:09 am,British Columbia,Female,Permanent,Yes,Very important,More than $15
Jan 26 18 12:12:50 pm,Nova Scotia,Male,Permanent,No,Very important,$15
Jan 26 18 12:13:24 am,British Columbia,Female,Permanent,Yes,Very important,$15
